slug,title,published_at,category,priority,content_type,source_count,path
20260429-578f3f,"자유의 방패 2026, 3월 9~19일 확정",2026-04-29T12:10:20.598228+00:00,alliance,P2,original,0,articles/2026-04/20260429-578f3f/
20260429-69181f,"방산혁신펀드, K방산 생태계 핵심 축으로",2026-04-29T14:46:51.701294+00:00,industry,P4,original,0,articles/2026-04/20260429-69181f/
20260429-556aa8,"미국, 중앙아시아 핵심광물 경쟁서 뒤처질 위험",2026-04-29T22:45:05.193841+00:00,defense_policy,P3,original,0,articles/2026-04/20260429-556aa8/
20260430-fef9ca,"미 해병대, 남방사령부 배치 대체 플랫폼 검토",2026-04-30T03:14:30.729538+00:00,alliance,P3,original,0,articles/2026-04/20260430-fef9ca/
20260430-2954dc,"우크라이나, 러 에너지 인프라 심층타격 전략 가동",2026-04-30T23:03:32.467246+00:00,operations,P2,original,0,articles/2026-04/20260430-2954dc/
20260503-68cbb4,"국방부, AI 군 도입 400억 투입…4개 분야 20개 과제",2026-05-03T16:17:00.78986+00:00,tech,P3,original,0,articles/2026-05/20260503-68cbb4/
20260503-72e71d,"육군방공학교, 폴란드와 대드론 협력 본격화",2026-05-03T16:17:32.557179+00:00,alliance,P3,original,0,articles/2026-05/20260503-72e71d/
20260503-e24b12,"육군, 드론 개인화기화…50만 드론전사 양성",2026-05-03T16:17:46.963123+00:00,weapons,P2,original,0,articles/2026-05/20260503-e24b12/
20260503-ee33f6,"육군, 드론 전력화 가속화…폴란드와 대드론 협력",2026-05-03T16:34:28.110109+00:00,weapons,P3,original,3,articles/2026-05/20260503-ee33f6/
20260503-04f275,"러 공습 지속 속 美, 독일 5천명 감군 계획에 경고",2026-05-03T16:35:00.556379+00:00,alliance,P2,original,4,articles/2026-05/20260503-04f275/
20260503-d628af,아프리카 라이온 훈련 중 미군 2명 실종,2026-05-03T22:13:52.232298+00:00,operations,P2,original,3,articles/2026-05/20260503-d628af/
20260503-10ffc2,"북한 핵무기 최대 50개 추정, 농축시설 급속 확장",2026-05-03T22:14:19.828395+00:00,threats,P1,original,2,articles/2026-05/20260503-10ffc2/
20260503-b8f59c,"이란, 걸프 6개국에 드론·미사일 대규모 공격",2026-05-03T22:14:33.796469+00:00,geopolitics,P1,original,2,articles/2026-05/20260503-b8f59c/
20260503-2e211a,"북한, ICBM 고체연료 엔진 성능 25% 향상 시험",2026-05-03T22:14:52.128224+00:00,threats,P1,original,2,articles/2026-05/20260503-2e211a/
20260503-2ce4a1,"북한, '화성포-11라' 집속탄두 위력 시험 실시",2026-05-03T22:15:09.232607+00:00,threats,P1,original,2,articles/2026-05/20260503-2ce4a1/
20260503-f8583f,"미 해병대, ARG·MEU 수요 목표치 2배 초과",2026-05-03T22:15:26.333267+00:00,operations,P2,original,2,articles/2026-05/20260503-f8583f/
20260504-62f7cf,"국방부, 민간 AI 기술 군 도입 가속화…4개 분야 400억 원 투입",2026-05-04T04:45:36.549096+00:00,tech,P3,wire,1,articles/2026-05/20260504-62f7cf/
20260504-49818b,"김규하 육군참모총장 ""드론은 이제 개인화기""…전 부대 드론 전력 체계 구축",2026-05-04T04:46:14.390713+00:00,doctrine,P2,wire,1,articles/2026-05/20260504-49818b/
20260504-48f91b,"해군잠수함사령부, 캐나다 초계잠수함 사업 지원 본격화",2026-05-04T04:46:32.240263+00:00,alliance,P3,wire,1,articles/2026-05/20260504-48f91b/
20260504-4aec4c,"우크라이나 Inguar Defence, Inguar-3 기반 장갑 의료후송차량 개발",2026-05-04T04:46:52.627648+00:00,weapons,P3,wire,1,articles/2026-05/20260504-4aec4c/
